catalouge_id,scan_ref,ext_ref_no,general_shape,scanned_by,PSSA_metric_exterior,PSSA_metric_interior,precision_score_exterior,precision_score_interior,surface_variability_exterior_rmsd,surface_variability_interior_rmsd,geometric_mean_exterior_score,geometric_mean_interior_score,geometric_mean_exterior_RMSD_median,geometric_mean_exterior_C_median,geometric_mean_interior_RMSD_median,geometric_mean_interior_C_median,quality_score_exterior_metric,quality_score_interior_metric,quality_score_exterior_imperial,quality_score_interior_imperial,quality_exterior_metric_mean_rmsd,quality_exterior_metric_mean_c,quality_exterior_metric_stdev_c,quality_interior_metric_mean_rmsd,quality_interior_metric_mean_c,quality_interior_metric_stdev_c,quality_exterior_imperial_mean_rmsd,quality_exterior_imperial_mean_c,quality_exterior_imperial_stdev_c,quality_interior_imperial_mean_rmsd,quality_interior_imperial_mean_c,quality_interior_imperial_stdev_c
HV001,a,E1,Circular,Max Fomitchev-Zamilov,0.174249211676487,0.112243946364631,31.7059200888162,79.0346087507604,0.177594625888507,0.112484153954739,0.10787425432664,0.226058809407914,0.141152171412559,0.0824419109537923,0.102877904873251,0.0824419109537923,358.279318250025,1106.5531949453,14.1054925874353,43.565109940316,0.152659884651644,0.113795440660912,0.0918239929374695,0.10599431911827,0.561879687441318,0.438679188385713,6.01023492472369,4.48013787836415,3.61511978434747,4.1730069431182,22.1212594825334,17.2708435146644
HV002,a,E2,Circular,Max Fomitchev-Zamilov,0.105028013838845,0.0963090612341318,72.5757772903617,108.650464832398,0.117382715481764,0.0959365740854179,0.0866927732693553,0.342706925742109,0.0698223990861054,0.107639339746311,0.110149500919452,0.107639339746311,415.23368404635,173.141715550422,16.3477916642732,6.81660665539167,0.090470726999599,0.157413393513029,0.167349563533722,0.08400501569923,0.056146148432567,0.032990551418625,3.56184156904691,6.1973810439473,6.588569051279,3.30728586858026,2.21047947840501,1.29884130840641
HV003,a,E3,Circular,Max Fomitchev-Zamilov,0.315215140163335,0.217327454766154,10.2831137521274,21.2363463867883,0.311844206454677,0.21700018282192,0.269821578688142,0.875685743563605,0.307536895431685,0.236731544758451,0.235562083697203,0.236731544758451,1089.53443675069,311.190900569669,42.8950797283182,12.2516168745179,0.308537915735748,0.313726610488694,0.467269910526244,0.230787647936369,0.0496450783942428,0.030758174239057,12.147168596308,12.3514480276009,18.3964631044093,9.08613277801964,1.95453170088918,1.2109523956091
HV004,a,E4,Circular,Max Fomitchev-Zamilov,0.207729113717445,0.0865690279014293,16.6565936375688,133.857029332485,0.24502302919245,0.0864329644855581,0.139059345649696,0.416473100041284,0.195483605291956,0.0989213473101282,0.113468817872326,0.0989213473101282,1694.24206613721,251.114036904343,66.7024795680286,9.88638474432768,0.201999447810306,0.703764926976573,0.788477691350332,0.13095124866225,0.0789354521066911,0.0412273361354018,7.95273846023654,27.7072955515604,31.0424455562317,5.15556375495766,3.10769664298564,1.62312434638438
HV005,a,E5,Circular,Max Fomitchev-Zamilov,0.173065058019527,0.0812756072227267,33.3909670748835,151.357325404257,0.173055537797284,0.0812827292487103,0.144820241330438,0.326788668150242,0.151537125981297,0.138401082660065,0.0930455041963713,0.138401082660065,392.498452921678,435.679592130365,15.4527033413718,17.1527491101317,0.162431390472855,0.150850047074338,0.0792170153744845,0.147734772047848,0.210812704704353,0.0771321153781643,6.39494008605535,5.93898143832141,3.11878181699499,5.81633274900097,8.29971726548086,3.03669909564987
HV006,a,E6,Circular,Max Fomitchev-Zamilov,0.340516027430105,0.240033976400361,8.25961331201404,17.8627108506347,0.347952645034033,0.236606306372541,0.154808713044682,0.5642911531657,0.263316493063082,0.0910149506996858,0.304656062266717,0.0910149506996858,854.935244930788,468.063715750081,33.6588860864496,18.4277152954523,0.255575205353309,0.353569236004316,0.245790803573163,0.272118713596632,0.134036410448986,0.0619085917044634,10.0620213922803,13.9200561784135,9.67680851575578,10.7133409661708,5.27702688301761,2.43734744626389
HV007,a,E7,Circular,Max Fomitchev-Zamilov,0.167702679313578,0.221744546724941,33.5390965452321,20.3303964661013,0.172672954557407,0.221782398556374,0.131452468532647,0.224493101872607,0.173034348915762,0.0998631288619968,0.210894241299947,0.0998631288619968,1054.84199311081,366.706462840146,41.529234752972,14.4372701126628,0.192861572120542,0.488446051744075,0.373534369246195,0.209934083637189,0.0967424266226765,0.0600299525802813,7.59297938054296,19.2301699017694,14.7060854706596,8.26512586620448,3.80875901037744,2.36338523608093
HV008,a,E8,Circular,Max Fomitchev-Zamilov,0.181618364139419,0.242925294201969,30.3087449778397,16.9410591084275,0.181641894651328,0.242957170511738,0.110092907952153,0.491616313435845,0.18814962821912,0.064419199209077,0.231739937397028,0.064419199209077,275.888566814428,370.364029654764,10.8617604643407,14.581268883911,0.173402773150466,0.0679718290331184,0.0345139646308439,0.234912714880392,0.0848223906358873,0.0506289241384847,6.82688451921115,2.67605770621677,1.35881823891279,9.2485370761125,3.33946600157395,1.99326580622456
HV009,a,E9,Circular,Max Fomitchev-Zamilov,0.208594628025667,0.21948231875268,24.0272800930674,20.7924202002904,0.204008233086367,0.219304467216281,0.180316726671763,0.416835776729515,0.186715439103257,0.174137297235706,0.345671682213174,0.174137297235706,628.207924934429,579.99770095229,24.7326088254609,22.8345674862617,0.195724526708204,0.240495373328822,0.191988024897403,0.31940871480694,0.182782368623706,0.0778066175216441,7.70569418895466,9.46832689749306,7.55858773901324,12.5751530428207,7.19616013095215,3.06325431248888
IV001,a,M1,Circular,Matt Beall,0.0647976000836701,0.157345607813285,337.091928220134,41.2757158743523,0.0608025857018782,0.0862188743991847,0.0323779353089072,0.166588816531421,0.045719472209046,0.0229296324785734,0.118773710881758,0.0229296324785734,87.3197317553162,220.237226090178,3.43778657117998,8.67076161489293,0.0445376161358588,0.0264609384333653,0.0163211771860921,0.114069041171803,0.0697047949856628,0.0364633899327129,1.75345040103037,1.04176979221544,0.642566377934166,4.49090955783799,2.74428474906504,1.4355673079899
IV002,a,M2,Circular,Matt Beall,0.0609542187247684,0.114381513097449,238.529373897848,72.734376629212,0.0544660428433292,0.155651278710085,0.040332788918553,0.154680139722656,0.0227481065389513,0.0715107369118002,0.058517354193136,0.0715107369118002,150.646246080006,201.701560190038,5.93095777279446,7.9410105948378,0.0323956941881479,0.0706977324507521,0.0475528194411065,0.0663615955249415,0.0868027012424278,0.0485372634226683,1.2754217197568,2.78337679635936,1.87215925667831,2.6126626519765,3.41743102818451,1.91091691467679
IV003,a,M3,Circular,Matt Beall,0.0329090761042229,0.0705747655954825,35.4681902645228,177.241090293025,0.167911516982914,0.075113464481685,0.025687884030466,0.0495729805396876,0.0476004571653183,0.0138626270682847,0.036924943056935,0.0138626270682847,91.3455516497068,203.508595459772,3.59628350300412,8.01215375411076,0.0657612954002022,0.0158479877530583,0.00973626849644632,0.056867701034183,0.0741756940301688,0.0724652003954198,2.5890287760355,0.623936862636682,0.383317864331941,2.23888707648589,2.92030449153715,2.85296218608772
IV004,a,M4,Circular,Max Fomitchev-Zamilov,0.0411426093535534,0.0925241733578646,585.82363639029,116.914622164451,0.0413158369506092,0.0924837827307345,0.0194622572475416,0.127809665064275,0.0336831534439151,0.0112453680383632,0.0903383068621375,0.0112453680383632,56.5921732850035,137.775368375695,2.22803952144792,5.42423003048793,0.0360294795026852,0.0134979862719097,0.00706470751040857,0.0865351860157168,0.0376361630979151,0.0136040192620627,1.41848421096867,0.531417069323712,0.278138241155536,3.40689892695737,1.48173950478123,0.535591598749333
IV005,a,M5,Circular,Max Fomitchev-Zamilov,0.0720265151715078,0.0391873569436126,147.363709762591,644.837174115052,0.0823767638859796,0.0393799324603685,0.0572478947147265,0.0878373385040952,0.0728920243455126,0.0449613174924833,0.0479902124893572,0.0449613174924833,188.491642807446,119.946641875636,7.42093482649345,4.72231128530799,0.099013210345588,0.0548743476780039,0.0346040847838545,0.0586615361061919,0.0402759431153554,0.0210091626540892,3.89815999262683,2.16040855551778,1.36236627834883,2.30951054265439,1.58566790804585,0.827132834607757
IV006,a,M6,Circular,Max Fomitchev-Zamilov,0.0396576587937243,0.0407824704086462,622.653073056355,614.030247769769,0.04007531383598,0.0403557215943918,0.0274704485483086,0.100576265999506,0.0369928661448059,0.02039921806792,0.051627656659993,0.02039921806792,72.0157695504149,83.0755112717573,2.83526804877679,3.27069118632021,0.0389661938359031,0.0211024562509336,0.0119471194635782,0.050110208776416,0.0210099643381572,0.0119553381571841,1.53410294793889,0.830805812844881,0.470359287993019,1.97284393054838,0.827164396989682,0.470682858782152
IV007,a,M7,Circular,Max Fomitchev-Zamilov,0.0526040302184367,0.037735240684926,273.35305320237,728.029812222213,0.060483656107501,0.0370617069865352,0.04474490617189,0.0461826342253284,0.0327900342091865,0.0610583879101393,0.0321155737810059,0.0610583879101393,187.934983431328,49.8078301831887,7.39901909118973,1.96093925509516,0.0365229497571157,0.0847122898379133,0.0666997438362992,0.0287013341726421,0.0121565461775023,0.00894994983304442,1.43791218423262,3.33513132214763,2.62597558480948,1.12997439651034,0.478604438662881,0.352360419921942
IV008,a,E8,Circular,Max Fomitchev-Zamilov,0.0791890886837304,0.0448658742180773,162.994877330223,541.698953883528,0.0783272758206397,0.0429656119321891,0.0607042317513116,0.093021997664895,0.0412320762737582,0.0893722578521283,0.0466144436837457,0.0893722578521283,233.214358224925,90.2307215017455,9.18167260475112,3.55239252859587,0.044378008787492,0.112737074755556,0.0760992746818769,0.0535605928211787,0.0223386361674869,0.0143314925130798,1.74716664376444,4.43846990683372,2.99603605415296,2.10868589542909,0.879474339777578,0.564232293389204
IV009,a,E9,Circular,Max Fomitchev-Zamilov,0.0859226783808096,0.0666920509966037,114.365632046069,233.559526740718,0.0935087459662057,0.0654336590484541,0.0779033358345892,0.119550219298191,0.0406885887433329,0.149155572154152,0.0401675873776276,0.149155572154152,385.063549682469,219.161423373078,15.1599904573538,8.62840715434041,0.0420670599647439,0.180444868479079,0.162551621238646,0.0400779787198524,0.124731619906601,0.0543518247466242,1.65618435751796,7.1041325165082,6.39967358332762,1.57787402999846,4.91069634888488,2.13983677545707
IV010,a,E10,Circular,Max Fomitchev-Zamilov,0.0885662534074744,0.167253610574368,127.954358182647,35.7131014965568,0.0884041104765127,0.16733477958119,0.038697660776385,0.123529612458393,0.0591291786760287,0.0253260570008774,0.159927390159878,0.0253260570008774,103.609351174085,217.31124992908,4.07911051665886,8.55556564083289,0.0625989897697438,0.0266059823513427,0.0144043790529989,0.161303190988138,0.0356620631753788,0.0203459957655639,2.46452848713379,1.0474801857706,0.567101843754474,6.35052275952208,1.40401899342098,0.801023887889829
IV011,a,M11,Circular,Max Fomitchev-Zamilov,0.0677281009008169,0.0298413477515104,218.630502330579,1119.31913212605,0.0676308154156206,0.0298898018850282,0.0311130783296903,0.0491284165316045,0.061351587923992,0.0157782980996144,0.0268846537973582,0.0157782980996144,100.080271119932,47.2669733681363,3.94017028201884,1.86090546820086,0.0641736500855636,0.0215969660302528,0.0143096550041158,0.0282611856792216,0.0112544422335794,0.00775134545533532,2.52652302123365,0.850274712307654,0.56337254847754,1.11264570630952,0.443088516180243,0.305171245711097
IV012,a,E12,Circular,Max Fomitchev-Zamilov,0.118591322585851,0.13115025422451,71.1665850292607,77.9229460361156,0.118539184943977,0.113283672086347,0.0580734976592545,0.11600714355812,0.117090059639517,0.0288028816516311,0.0691981730931496,0.0288028816516311,178.983990571944,410.663332602996,7.0466176072165,16.1678564709132,0.118231150364992,0.0336588092856912,0.0270940309212614,0.0924921711483924,0.190886724213775,0.127284437240829,4.65477221298476,1.32515068745859,1.06669470677316,3.64142602732932,7.51522942096874,5.01120102261516
IV014,a,M14,Circular,Max Fomitchev-Zamilov,0.142587161302632,0.0800318520274424,46.0866633289891,156.889969873499,0.147303262848967,0.0798366692698696,0.0976466874179375,0.151879398921841,0.0580575250101069,0.164231519721802,0.0820288046110853,0.164231519721802,306.296633082679,122.660436660664,12.0589290741284,4.829153657374,0.0679388593447455,0.155391579150328,0.0829661945876054,0.0959824775341461,0.0156121157673558,0.0110658433591618,2.67475968628856,6.11778201030633,3.26638737753348,3.77883973876709,0.614650558972376,0.435663359634534
